Talker,Age,L1,Vowel,Token,F0_gm,F0,SR,Duration,Quantity,Transcribed_vowel,Repetitions,F1_gm,F2_gm,F3_gm,height_gm,backness_gm
SW_001,30,Swedish,ii1,1,200.963042516009,225.391756722457,178.33842227818,0.183278947812077,long,intended,5,406.7503805099,2571.49501769869,3628.44578392486,0.824516687627016,1.8440430461182
SW_001,30,Swedish,ii1,2,200.963042516009,228.071344949813,178.33842227818,0.189999999999998,long,intended,5,411.298807170076,2510.47470188739,3489.11869907872,0.835636981126403,1.80890716341554
SW_001,30,Swedish,ii1,3,200.963042516009,226.755879249554,178.33842227818,0.243822006120837,long,intended,5,410.107847476992,2503.6383116886,3513.53778720267,0.832737173775441,1.80908010983759
SW_001,30,Swedish,ii1,4,200.963042516009,215.519477184619,178.33842227818,0.202132932635841,long,intended,5,411.81965300967,2489.96087320955,3452.18389018971,0.836902524141916,1.79943675766284
SW_001,30,Swedish,ii1,5,200.963042516009,239.342150495106,178.33842227818,0.210000000000001,long,intended,5,425.544880874881,1745.59961887676,3032.74084803219,0.869687426457761,1.41148297632729
SW_001,30,Swedish,ih1,1,200.963042516009,233.070220364666,178.33842227818,0.104030722611554,short,intended,5,439.036835340686,2760.58818696943,3405.62412555085,0.900900322977041,1.83861573028992
SW_001,30,Swedish,ih1,2,200.963042516009,209.781203862779,178.33842227818,0.0942778423667221,short,intended,5,408.479335660261,2751.07522797928,3319.89325688488,0.828758333161479,1.90730577911408
SW_001,30,Swedish,ih1,3,200.963042516009,213.028715572035,178.33842227818,0.0812891272816003,short,intended,5,412.882266072336,2714.77505701061,3414.62440854019,0.839479488317999,1.88330189472776
SW_001,30,Swedish,ih1,4,200.963042516009,234.049289401356,178.33842227818,0.096432803071302,short,intended,5,419.366482363931,2797.62218025804,3436.13032457371,0.855062203250061,1.89777991682403
SW_001,30,Swedish,ih1,5,200.963042516009,218.386234599289,178.33842227818,0.0828994820810749,short,intended,5,427.1133733466,2711.03970893698,3309.34055251338,0.873366495377,1.84803800739367
SW_001,30,Swedish,yy1,1,200.963042516009,203.037357642819,178.33842227818,0.210759202149049,long,intended,5,386.458324450394,2300.31006833436,3368.20753813999,0.77334104018211,1.78377517100798
SW_001,30,Swedish,yy1,2,200.963042516009,201.832746670603,178.33842227818,0.214105407624359,long,intended,5,397.195064416369,2307.74239068448,3410.2173802841,0.800744512193078,1.75959749942404
SW_001,30,Swedish,yy1,3,200.963042516009,184.083384085442,178.33842227818,0.258451326488085,long,intended,5,365.029331520054,2297.39420361771,3413.16581120119,0.716294716722614,1.83955309400711
SW_001,30,Swedish,yy1,4,200.963042516009,189.448403355527,178.33842227818,0.212937885345525,long,intended,5,370.154517310238,2318.04876537116,3377.8352593761,0.730237538853584,1.83456052855722
SW_001,30,Swedish,yy1,5,200.963042516009,190.877438928611,178.33842227818,0.25,long,intended,5,371.749477465623,2274.37498001808,3339.2628165662,0.734537185772269,1.8112403798484
SW_001,30,Swedish,yh1,1,200.963042516009,194.952083366993,178.33842227818,0.095903322407537,short,intended,5,389.406450802335,2557.56245287184,3006.70565948731,0.780940664845779,1.88218625822201
SW_001,30,Swedish,yh1,2,200.963042516009,199.61786839285,178.33842227818,0.0910268822850924,short,intended,5,395.733316439468,2642.92450140087,3114.32562057218,0.797057547094906,1.89890080764788
SW_001,30,Swedish,yh1,3,200.963042516009,188.49213049214,178.33842227818,0.104030722611554,short,intended,5,377.771183986124,2572.24361479747,2985.98030031927,0.750605685001256,1.91824511995016
SW_001,30,Swedish,yh1,4,200.963042516009,217.204201254112,178.33842227818,0.110532642774785,short,intended,5,420.948815291354,2677.79946508292,3132.06640524124,0.8588282534506,1.85023939369268
SW_001,30,Swedish,yh1,5,200.963042516009,188.131869970846,178.33842227818,0.0991542824891383,short,intended,5,374.033671741491,2644.81105961682,3076.31409358053,0.740662830796235,1.95600908394751
SW_001,30,Swedish,uu1,1,200.963042516009,187.470737431175,178.33842227818,0.260000000000005,long,intended,5,383.202975212615,2100.50471366498,2853.86147334755,0.764881816231266,1.70136812448364
SW_001,30,Swedish,uu1,2,200.963042516009,187.497534046908,178.33842227818,0.25,long,intended,5,368.862502633809,2087.02026673042,2867.24749236105,0.726740959051184,1.73306866495814
SW_001,30,Swedish,uu1,3,200.963042516009,196.314666569488,178.33842227818,0.239999999999995,long,intended,5,372.483976976249,2042.71705922252,2724.11300560028,0.736511028105513,1.70184207036735
SW_001,30,Swedish,uu1,4,200.963042516009,235.448405170568,178.33842227818,0.240000000000009,long,intended,5,440.9157925003,2020.23881641896,2747.02526810098,0.905170916542787,1.52211709885423
SW_001,30,Swedish,uu1,5,200.963042516009,229.828588655777,178.33842227818,0.239863730987878,long,intended,5,430.370209110587,2003.84479921516,2758.81539580992,0.880962795741415,1.53817722400279
SW_001,30,Swedish,uh1,1,200.963042516009,255.242624161417,178.33842227818,0.0861504421626904,short,intended,5,474.99224073205,1485.8867235645,3233.49544561576,0.979615474640196,1.14046852467663
SW_001,30,Swedish,uh1,2,200.963042516009,214.795421062044,178.33842227818,0.0892341306123399,short,intended,5,424.061997030735,1259.88286157097,2851.6459125103,0.866196669994978,1.0888943646616
SW_001,30,Swedish,uh1,3,200.963042516009,215.953959702311,178.33842227818,0.0894014022443059,short,intended,5,430.510322131684,1552.82032086935,3015.44701355026,0.881288306697347,1.28285681770973
SW_001,30,Swedish,uh1,4,200.963042516009,234.120592354349,178.33842227818,0.0900000000000034,short,intended,5,455.797878649568,1587.74235217487,3036.4187672485,0.938366468715114,1.2480189192272
SW_001,30,Swedish,uh1,5,200.963042516009,233.168783790478,178.33842227818,0.116256129795303,short,intended,5,451.630028111501,1322.8315002072,2979.45843799085,0.929180328823005,1.07466647132134
SW_001,30,Swedish,ee1,1,200.963042516009,191.629178812096,178.33842227818,0.239999999999998,long,intended,5,436.553960207065,2623.50758056621,3179.89315374784,0.895228993855788,1.79335548479261
SW_001,30,Swedish,ee1,2,200.963042516009,185.350367126757,178.33842227818,0.240571046039221,long,intended,5,436.642778910417,2712.01818242474,3398.51304141779,0.895432427285346,1.82633293222629
SW_001,30,Swedish,ee1,3,200.963042516009,186.739467218563,178.33842227818,0.230448658924221,long,intended,5,413.910615055434,2537.58287742981,3183.10593437816,0.841967050891052,1.81331723902164
SW_001,30,Swedish,ee1,4,200.963042516009,184.499308840357,178.33842227818,0.23,long,intended,5,416.307337875219,2696.17851828789,3257.12046590517,0.847740786497279,1.86816690536482
SW_001,30,Swedish,ee1,5,200.963042516009,175.957606869759,178.33842227818,0.255899747501655,long,intended,5,403.343012253801,2642.84932004706,3180.6731714412,0.816104352998143,1.87982555506631
SW_001,30,Swedish,eh1,1,200.963042516009,214.83532118416,178.33842227818,0.113707013666115,short,intended,5,601.927917544819,1358.13210547152,2325.66085423696,1.2164547058819,0.813727882979437
SW_001,30,Swedish,eh1,2,200.963042516009,188.406699422904,178.33842227818,0.0861504421626904,short,intended,5,651.14167458172,2196.42759858337,3199.7511645864,1.29504425065696,1.21586025608087
SW_001,30,Swedish,eh1,3,200.963042516009,198.372125678122,178.33842227818,0.0859739431519841,short,intended,5,604.729041979485,2272.61320458097,3240.21277287851,1.22109749925279,1.32390514659517
SW_001,30,Swedish,eh1,4,200.963042516009,210.940911695702,178.33842227818,0.0900000000000034,short,intended,5,609.533861446972,2150.1743459683,3416.49204558925,1.22901150952467,1.2606097054973
SW_001,30,Swedish,eh1,5,200.963042516009,199.262994050498,178.33842227818,0.12893016355136,short,intended,5,713.317692009089,2170.18035024325,3361.80612056825,1.38624389805725,1.11263866177485
SW_001,30,Swedish,eh1,6,200.963042516009,200.551365723233,178.33842227818,0.089999999999975,short,intended,5,638.934025058943,1812.31838017998,2592.69874949739,1.276118207918,1.04256097579136
SW_001,30,Swedish,eh1,7,200.963042516009,212.099275518974,178.33842227818,0.0960700535218848,short,intended,5,643.819010257488,2067.80560046745,3143.68383010075,1.2837346526723,1.16682558093489
SW_001,30,Swedish,eh1,8,200.963042516009,197.156401248206,178.33842227818,0.0977276883730269,short,intended,5,615.152561693073,1494.25168676067,2509.05909722511,1.23818731087633,0.887510511701633
SW_001,30,Swedish,eh1,9,200.963042516009,205.172151390348,178.33842227818,0.104649060222243,short,intended,5,655.62187685913,1469.39028318503,2583.26579532088,1.30190122157057,0.807018604856366
SW_001,30,Swedish,ae1,1,200.963042516009,145.252329254784,178.33842227818,0.259016843759468,long,intended,5,818.240992904189,1886.19289464144,2991.59755833376,1.52347391160528,0.83515882951445
SW_001,30,Swedish,ae1,2,200.963042516009,173.376429677447,178.33842227818,0.229192685753588,long,intended,5,809.759810699913,1487.38872995895,2174.60447896377,1.51305467973259,0.608039657540267
SW_001,30,Swedish,ae1,3,200.963042516009,167.241753793614,178.33842227818,0.249761653928346,long,intended,5,791.711515671677,1993.76375567145,3236.08239906915,1.49051408361068,0.923582388334938
