Talker,Vowel,Token,Trial,Location,Quantity,F0,F1,F2,F3,outlier_source
ref_yw_1,yh1,7,76,20,short,113.382017999677,412.020238193592,2292.36172125703,2876.02218540544,F0_univariate
ref_yw_1,yh1,7,76,35,short,113.382017999677,429.699866214887,2379.68085181272,2884.01441728188,F0_univariate
ref_yw_1,yh1,7,76,50,short,113.382017999677,426.113509388798,2475.04735484368,2930.44914640485,F0_univariate
ref_yw_1,yh1,7,76,65,short,113.382017999677,417.002661052368,2033.97975957014,2653.58031409421,F0_univariate
ref_yw_1,yh1,7,76,80,short,113.382017999677,410.790530889068,2495.77368870032,3038.95787727385,F0_univariate
ref_yw_2,oah1,5,140,20,short,92.4598954328775,605.681168847402,993.120815919224,2731.74866192217,F0_univariate
ref_yw_2,oah1,5,140,35,short,92.4598954328775,573.095325726952,916.780191946556,2802.71922938229,F0_univariate
ref_yw_2,oah1,5,140,50,short,92.4598954328775,539.212915434716,868.523954725939,2801.06512075607,F0_univariate
ref_yw_2,oah1,5,140,65,short,92.4598954328775,521.800084308567,872.238257164843,2734.21437686416,F0_univariate
ref_yw_2,oah1,5,140,80,short,92.4598954328775,553.236908330961,890.497070862325,2698.69939054186,F0_univariate
ref_ym_3,oah1,4,239,20,short,227.672300395457,476.893500098879,755.116546965157,2634.03853906222,F0_univariate
ref_ym_3,oah1,4,239,35,short,227.672300395457,477.104868368264,761.330314933814,2706.5669104669,F0_univariate
ref_ym_3,oah1,4,239,50,short,227.672300395457,450.157855724495,707.24247317578,2737.53697952561,F0_univariate
ref_ym_3,oah1,4,239,65,short,227.672300395457,420.060617645339,679.922702605731,2697.90329659772,F0_univariate
ref_ym_3,oah1,4,239,80,short,227.672300395457,431.454893072596,672.651958646974,2635.62759161296,F0_univariate
ref_yw_1,oe1,1,4,80,long,208.80547216817,756.862150973486,1754.12181607749,2644.32806232504,F1_univariate
ref_yw_1,ae1,1,7,80,long,254.288288296348,789.981004915751,2216,2903.30148065544,F1_univariate
ref_yw_1,oo1,3,12,50,long,203.500454269652,240.045094164595,835.989555042081,2613.95727967113,F1_univariate
