Talker,Age,Gender,category,Word,Token,Trial,Location,Duration,SR,F0,F1,F2,F3,Quantity
ref_yw_1,35,female,[æː],lär,1,1,20,0.44184834315939,180.453128894151,259.883027438136,971.71022140441,1784.2021419432,2717.64083131884,long
ref_yw_1,35,female,[æː],lär,1,1,35,0.44184834315939,180.453128894151,259.883027438136,909.149873639806,1819.70995325387,2804.66195015969,long
ref_yw_1,35,female,[æː],lär,1,1,50,0.44184834315939,180.453128894151,259.883027438136,974.939041631648,1896.3328509703,2865.4481011163,long
ref_yw_1,35,female,[æː],lär,1,1,65,0.44184834315939,180.453128894151,259.883027438136,897.971526228735,1930.27807058501,2983.57396222072,long
ref_yw_1,35,female,[æː],lär,1,1,80,0.44184834315939,180.453128894151,259.883027438136,755,1982.64616978915,3072,long
ref_yw_1,35,female,[æː],lär,2,2,20,0.460092143186775,180.453128894151,199.160233011042,874.824953138746,1823.2375642192,2746.15545464466,long
ref_yw_1,35,female,[æː],lär,2,2,35,0.460092143186775,180.453128894151,199.160233011042,890.19220449474,1887.37233025128,2803.38546593125,long
ref_yw_1,35,female,[æː],lär,2,2,50,0.460092143186775,180.453128894151,199.160233011042,911.235607491396,1904.28607459977,2814.27316390558,long
ref_yw_1,35,female,[æː],lär,2,2,65,0.460092143186775,180.453128894151,199.160233011042,838.513672623871,1919.80505199335,2879.85813269985,long
ref_yw_1,35,female,[æː],lär,2,2,80,0.460092143186775,180.453128894151,199.160233011042,774,2008.46043011814,2904.93356570452,long
ref_yw_1,35,female,[æː],lär,3,3,20,0.373046130931573,180.453128894151,191.755005715531,885.324493699292,1668,2620,long
ref_yw_1,35,female,[æː],lär,3,3,35,0.373046130931573,180.453128894151,191.755005715531,901.605858769618,1804.36588911622,2704.75198316856,long
ref_yw_1,35,female,[æː],lär,3,3,50,0.373046130931573,180.453128894151,191.755005715531,916.499197204534,1851.33312079309,2712.05431006937,long
ref_yw_1,35,female,[æː],lär,3,3,65,0.373046130931573,180.453128894151,191.755005715531,947.667468262665,1889.57360228523,2780.85320241318,long
ref_yw_1,35,female,[æː],lär,3,3,80,0.373046130931573,180.453128894151,191.755005715531,866.540879243424,1979.27252101117,2886.86685783637,long
ref_yw_1,35,female,[øː],blöt,1,4,20,0.391513246705434,180.453128894151,208.80547216817,620.077417432586,1821.98010851292,2639.79010052879,long
ref_yw_1,35,female,[øː],blöt,1,4,35,0.391513246705434,180.453128894151,208.80547216817,620.005813500021,1836.46113789033,2629.52536357044,long
ref_yw_1,35,female,[øː],blöt,1,4,50,0.391513246705434,180.453128894151,208.80547216817,634.528114655402,1878.27285925075,2631.57169323829,long
ref_yw_1,35,female,[øː],blöt,1,4,65,0.391513246705434,180.453128894151,208.80547216817,688.910624775736,1848.81711802931,2610,long
ref_yw_1,35,female,[øː],blöt,1,4,80,0.391513246705434,180.453128894151,208.80547216817,758,1754.12181607749,2644.32806232504,long
ref_yw_1,35,female,[øː],blöt,2,5,20,0.378760372219915,180.453128894151,201,668.760061772352,1771.51611095423,2596.26832843097,long
ref_yw_1,35,female,[øː],blöt,2,5,35,0.378760372219915,180.453128894151,201,691.36180077134,1794.20876650029,2619.64421934464,long
ref_yw_1,35,female,[øː],blöt,2,5,50,0.378760372219915,180.453128894151,201,704.521333038976,1771.69298995439,2634.76425904869,long
ref_yw_1,35,female,[øː],blöt,2,5,65,0.378760372219915,180.453128894151,201,662.115963545214,1764.06757401667,2630.0654291024,long
ref_yw_1,35,female,[øː],blöt,2,5,80,0.378760372219915,180.453128894151,201,703.113777034065,1713,2626.51427101921,long
ref_yw_1,35,female,[øː],blöt,3,6,20,0.36090634794019,180.453128894151,213.65857024666,692.296698865021,1880.43317582307,2675.53281658747,long
ref_yw_1,35,female,[øː],blöt,3,6,35,0.36090634794019,180.453128894151,213.65857024666,718.625242920838,1892.82333627427,2695.84557297147,long
ref_yw_1,35,female,[øː],blöt,3,6,50,0.36090634794019,180.453128894151,213.65857024666,700.095266050965,1866.27741857169,2733.18154104222,long
ref_yw_1,35,female,[øː],blöt,3,6,65,0.36090634794019,180.453128894151,213.65857024666,732,1855.1363465167,2780.09656211601,long
ref_yw_1,35,female,[øː],blöt,3,6,80,0.36090634794019,180.453128894151,213.65857024666,634.195132416326,1948.03444708074,2874,long
ref_yw_1,35,female,[ɛː],läs,1,7,20,0.339135533777119,180.453128894151,243,684.89515438394,2226.72098595604,2963.76604162692,long
ref_yw_1,35,female,[ɛː],läs,1,7,35,0.339135533777119,180.453128894151,243,686.855186006584,2260,2962,long
ref_yw_1,35,female,[ɛː],läs,1,7,50,0.339135533777119,180.453128894151,243,692.439957678896,2304.17094217771,3087.55016382148,long
ref_yw_1,35,female,[ɛː],läs,1,7,65,0.339135533777119,180.453128894151,243,708.825070462915,2249.16437521194,3042.2086350759,long
ref_yw_1,35,female,[ɛː],läs,1,7,80,0.339135533777119,180.453128894151,243,782,2216,2903.30148065544,long
ref_yw_1,35,female,[ɛː],läs,2,8,20,0.340821029817581,180.453128894151,217.854582487475,713.526760432612,2159.26765385604,2837.38388293954,long
ref_yw_1,35,female,[ɛː],läs,2,8,35,0.340821029817581,180.453128894151,217.854582487475,692.995359794152,2211.68614327866,2992,long
ref_yw_1,35,female,[ɛː],läs,2,8,50,0.340821029817581,180.453128894151,217.854582487475,682.435330159013,2208.57450984112,2930,long
ref_yw_1,35,female,[ɛː],läs,2,8,65,0.340821029817581,180.453128894151,217.854582487475,675.816845197033,2215.8355772902,3024,long
ref_yw_1,35,female,[ɛː],läs,2,8,80,0.340821029817581,180.453128894151,217.854582487475,688.77721068514,2085,3001,long
ref_yw_1,35,female,[ɛː],läs,3,9,20,0.289838554216868,180.453128894151,229.814752632754,696.167996410062,2119.115038072,2905.48308814756,long
ref_yw_1,35,female,[ɛː],läs,3,9,35,0.289838554216868,180.453128894151,229.814752632754,685.350348579641,2218.50608450814,3023.2295090164,long
ref_yw_1,35,female,[ɛː],läs,3,9,50,0.289838554216868,180.453128894151,229.814752632754,671.777152075496,2300,3025.87007009888,long
ref_yw_1,35,female,[ɛː],läs,3,9,65,0.289838554216868,180.453128894151,229.814752632754,618.561431833411,2279.7999738189,3007.95623069717,long
ref_yw_1,35,female,[ɛː],läs,3,9,80,0.289838554216868,180.453128894151,229.814752632754,663.47238483602,2224.34488872157,2966.16110595748,long
ref_yw_1,35,female,[uː],sot,1,10,20,0.187680666359427,180.453128894151,240.445825953719,516.91761085307,1422,2951,long
ref_yw_1,35,female,[uː],sot,1,10,35,0.187680666359427,180.453128894151,240.445825953719,466,1193,2993,long
ref_yw_1,35,female,[uː],sot,1,10,50,0.187680666359427,180.453128894151,240.445825953719,458,977,3018.13252902212,long
ref_yw_1,35,female,[uː],sot,1,10,65,0.187680666359427,180.453128894151,240.445825953719,522.698940179781,977,3029.327115739,long
ref_yw_1,35,female,[uː],sot,1,10,80,0.187680666359427,180.453128894151,240.445825953719,562.076636722653,1073,3153,long
ref_yw_1,35,female,[uː],sot,2,11,20,0.235186823659078,180.453128894151,220.136491079759,521.588929788261,1291.41906172237,2997.43672534749,long
ref_yw_1,35,female,[uː],sot,2,11,35,0.235186823659078,180.453128894151,220.136491079759,494.797406438314,806.813196215586,2993.97020368775,long
ref_yw_1,35,female,[uː],sot,2,11,50,0.235186823659078,180.453128894151,220.136491079759,565.511479916642,1739.64883662042,3131.87779410959,long
ref_yw_1,35,female,[uː],sot,2,11,65,0.235186823659078,180.453128894151,220.136491079759,487.084515960049,605.726429736601,2966,long
ref_yw_1,35,female,[uː],sot,2,11,80,0.235186823659078,180.453128894151,220.136491079759,503.826418802646,828.702429706759,2937.75763806654,long
ref_yw_1,35,female,[uː],sot,3,12,20,0.22167957684033,180.453128894151,203.500454269652,465.916556255933,1157.06869095258,3006.86956942787,long
ref_yw_1,35,female,[uː],sot,3,12,35,0.22167957684033,180.453128894151,203.500454269652,463.888568251613,945.978463171261,3132.30818857044,long
ref_yw_1,35,female,[uː],sot,3,12,50,0.22167957684033,180.453128894151,203.500454269652,545,835.989555042081,3097,long
ref_yw_1,35,female,[uː],sot,3,12,65,0.22167957684033,180.453128894151,203.500454269652,438.049040976338,1003,2828.89404231927,long
ref_yw_1,35,female,[uː],sot,3,12,80,0.22167957684033,180.453128894151,203.500454269652,525,1136,3100,long
ref_yw_1,35,female,[øː],söt,4,13,20,0.268531664239276,180.453128894151,227.703531866521,640.81176936763,1896.96176990288,2849.97765084253,long
ref_yw_1,35,female,[øː],söt,4,13,35,0.268531664239276,180.453128894151,227.703531866521,660.180930677613,1939.30794677807,2781,long
ref_yw_1,35,female,[øː],söt,4,13,50,0.268531664239276,180.453128894151,227.703531866521,649.201553995056,1869.2337319122,2724.94420394579,long
ref_yw_1,35,female,[øː],söt,4,13,65,0.268531664239276,180.453128894151,227.703531866521,616.151495080459,1931.19600766571,2721.71612092253,long
ref_yw_1,35,female,[øː],söt,4,13,80,0.268531664239276,180.453128894151,227.703531866521,586.067045035329,1993,2755.76450600858,long
ref_yw_1,35,female,[øː],söt,5,14,20,0.261505785924548,180.453128894151,221.101538839307,622.90936639075,1918.38521843224,2822.26193114499,long
